id,name,cusps,betti,torsion,volume,chernsimons,tets,hash,triangulation
1,m003,1,1,[5],2.02988321282,0.25,2,92ede010a2ecd1092b43a5cc60fe8551,cPcbbbudh_abBb
2,m004,1,1,[],2.02988321282,0.0,2,f2b6e860a68efef4b845f3253c192acf,cPcbbblxu_bBba
3,m006,1,1,[5],2.5689706009,-0.114136653,3,1cc693e95e119e85e7be3d73053eca0b,dwQacccjjsk_abBb
4,m007,1,1,[3],2.56897060094,-0.135863347,3,619ccc27edf42259bb8e857639a9e537,dzQbcccxmgw_baab
5,m009,1,1,[2],2.66674478345,-0.020833333,3,452c432eac95bddd02bd329131e4ae4f,dLQbcccxhwg_baBb
6,m010,1,1,[6],2.66674478345,0.229166667,3,a26fc19d12023ce8bcd56ecd34ad4cf3,dLQbcccxhbr_bBba
7,m011,1,1,[],2.7818339124,-0.191836766,3,56cb3dbba021ab576573e7ad0c6fc0ba,dLQbbccxmkn_bBab
8,m015,1,1,[],2.82812208833,-0.153204133,3,c920d502c8f96dd7d365084444bb8eca,dLQbcccpufw_baab
9,m016,1,1,[],2.8281220883,-0.2365374666,3,c38e04b5c20672a9b5d0a80d13775178,dLQbbcceikn_abBa
10,m017,1,1,[7],2.8281220883,0.096795867,3,a594bbfec8b9c856171068ae39a685f7,dzQbbccdivw_baab
11,m019,1,1,[],2.94410648668,-0.147781207,3,4731c466d1575a01fd1ef8df1fcdd608,dPPbbccudgk_bBab
12,m022,1,1,[7],2.9891202829,-0.213106867,4,a4cdc29806b82929ce38eb32a2b7535f,eLMkcbdddhqqep_bBBc
13,m023,1,1,[3],2.98912028293,0.036893133,4,721404dd44e9a5277aa24d7c180b990f,eLMkcbdddhqqti_babb
14,m026,1,1,[],3.0593380578,-0.078093248,4,94d219b9cd5d760de4d8b1d5c3be88a3,ePzkbbcddxekqw_baab
15,m027,1,1,[],3.12133477301,-0.158846179,4,873bba5ab7413f2b6664b3560c4f8e52,eLAkbbcdddhrxj_abBa
16,m029,1,1,[5],3.1485098264,0.2121909,4,bf0b8b1ba6e5a35ad26f045aa45d4f4c,ezPkbddcdqgrsw_abBa
17,m030,1,1,[7],3.1485098264,-0.0378091,4,177dd09d34be0513d603a5a0938f56c6,ewMkaccddnrwhw_bBab
18,m032,1,1,[],3.16396322888,0.155977017,4,3bcd25e3d47ed6831681053dcc45d64d,ezPkbcdddlokks_baBb
19,m033,1,1,[9],3.16396322888,-0.094022983,4,911737d9ccab9ecbf83b8a1a5049cdcc,ezPkbdcddukfks_abBb
20,m034,1,1,[],3.16633332125,0.109274969,4,23bc901856e9949927d752f325311cbe,ezMkbcddddqhei_bBba
21,m035,1,1,[4],3.1772932786,0.049063042,4,609252aa4f1358a7683ba9361b4c4449,ezPkbddcdqgrww_abBb
22,m036,1,1,[3],3.1772932786,-0.215729709,4,b3bfb0c110efbeabaa70e5c9550493c3,eLPkccdddpsksr_abBb
23,m037,1,1,[8],3.1772932786,-0.200936958,4,4ded996b319ead49e0be6adb5b97ad92,ewAkaccddjjsqj_abBa
24,m038,1,1,[],3.1772932786,-0.034270291,4,4dc8b8184f95596f3a9e8d433b385519,evQkbcddddwnbr_abBa
25,m039,1,1,[4],3.1772932786,-0.049063042,5,2d6675bd2151510c4cef810e46a42f38,fzMPcbcdeeeqqhqwg_baCb
26,m040,1,1,[8],3.1772932786,0.200936958,5,468cdbd0a0189634f0537b38a839e801,fzMPcbcdeeexqhqnc_abBc
27,m043,1,1,[5],3.25290804847,-0.182439726,4,cd6ea5770904320c8048d3037f3e2b85,ezAkbbcddqdjqw_baBb
28,m044,1,1,[],3.27567656002,0.097383184,4,fff289e04615c9fbfb0d4d4d56667267,ezAkbbcddpegxr_bBba
29,m045,1,1,[2],3.27587164394,-0.22068146,4,d8d46ff3ddb535ef172d44418c1b834b,evQkccdcdlrjsj_abBb
30,m046,1,1,[10],3.2758716439,0.02931854,4,06c83a2d870c8661e6d7bf0c9ab14b4d,eLPkbcdcddwrwn_baab
31,m047,1,1,[],3.27706218513,-0.055416458,5,5c0f4e140d70e2e56f9f3d3bc6cfc102,fLAMcbbcdeeherxxr_baab
32,m049,1,1,[],3.30021762854,-0.13745722,5,2ffe491a18f6aa251df3f18acadf5a39,fLAMcbbcdeedhrxxr_abBa
33,m052,1,1,[],3.30824155473,-0.248228179,4,5a3db9cf841691692b6aa643c0374c52,eLAkbbcdddhwqj_baBb
34,m053,1,1,[],3.33174423164,-0.055153535,4,9135e30ca76bf43226fa9d003a7ddb69,evQkbccddtwckr_bBba
35,m054,1,1,[11],3.3317442316,0.194846465,4,7b3b8ab0dc50f05cab3250c520926774,ewPkaccddjnsxr_baab
36,m055,1,1,[],3.33719172001,-0.165051163,4,344cccef791aebfb9e0155e9e951e6e8,eLAkbbcddhewqj_bBba
37,m058,1,1,[11],3.35669284514,-0.097720004,5,1d648ccf065056bcd41ac95c9896d5f2,fvMQcdcedeeqjuvde_abBb
38,m059,1,1,[3],3.35669284514,0.152279996,5,ac238dca398a6825f0448959281dc03c,fvPQccedceewowsow_abBB
39,m060,1,1,[],3.36209320443,-0.149334559,4,9fb705f87a3f3cb3ced4bf838f3bd40c,eLAkbbcddtqsqj_bBba
40,m061,1,1,[9],3.36672942047,0.001752328,5,8d9809e57d6155f33827b6c2ee0f0f6c,fMvQcabddeejxknxn_baBb
41,m062,1,1,[7],3.36672942047,-0.248247672,5,95d5ae7dc2aa85376fe6fdaecfbe7e7f,fMLPcabdeeenhwqxh_babb
42,m064,1,1,[],3.3805053992,-0.233249388,4,57a6a162d4e61dfa31d7e43cc232e1b0,eLAkbbcddeivqj_bBba
43,m066,1,1,[11],3.39454051706,0.245164354,5,96428e0917ec6af1f59165989d1fc114,fPvQcabddeekhsjqj_bBba
44,m067,1,1,[5],3.3945405171,-0.004835646,5,b2e0166f379e688f3b57c9c90de012b0,fvQMcccdceehfsjhk_baBb
45,m069,1,1,[],3.4029912512,-0.051527139,4,f2872b3c07100190cd55bea91de485ba,evQkdcccdxsnbr_bBba
46,m070,1,1,[],3.40299125117,-0.218193806,4,f2872b3c07100190cd55bea91de485ba,evQkdcccdxnbsr_bBab
47,m071,1,1,[],3.4179148372,-0.151727481,5,1140e9a2035ea3f7a81eddde9ef710fd,fLAMccccdeetpkqqn_baab
48,m072,1,1,[],3.42450350877,-0.067713186,5,64e26a6249bae45f263a9766fac238f7,fLAMccccdeeqijqqn_abBa
49,m073,1,1,[13],3.4272052463,-0.027866879,5,a8d43fe57d50107ce6af9d8cc0ed1045,fzPPcbdcedeejjqkw_bBba
50,m074,1,1,[],3.4272052463,0.222133121,5,636b44cfe28a51360caefabea010df0c,fMLPcabdeeewqjlxl_abBc
51,m076,1,1,[13],3.4395928893,0.006851324,5,b749db3893c7ee2f4b915a2ba605895a,fzPPcbdcedeejshkk_baab
52,m077,1,1,[3],3.43959288935,-0.243148676,5,f32e9985168367473c765535776891c6,fvMQcdceddedwxkgj_baab
53,m078,1,1,[],3.4606758475,-0.090982306,5,af87849b92603601fdc04a8757ebff82,fzMPcbcdeeexxixoj_bBab
54,m079,1,1,[14],3.4636885562,0.194906421,5,a7486ae5aa2ee101b29dfacef7fec882,fzPPcbdcedepggxjk_abBa
55,m080,1,1,[2],3.46368855615,-0.0550935793,5,b0b522342e2e1686953d9a8a53307962,fwzQcacdeeejnxujn_bacb
56,m081,1,1,[],3.46440881729,0.220820422,4,28efa6533155e4203e340a81e2915d61,eLPkcdbddqbjgr_baBb
57,m082,1,1,[],3.47424776131,0.16175373,4,96adff22bc57c55d7f27253cc0657be6,ewMkaccddrrnhw_bBab
58,m083,1,1,[],3.4744027756,-0.241526674,5,3373b32f7708ba17d7f599319221297a,fPzMcbbcdeeudwhhw_bBba
59,m084,1,1,[12],3.4761739892,0.1731802864,5,b3a28ef8eca5ac21ccad2c808268ca5c,fzMMcaccdeerrwhhr_abBb
60,m085,1,1,[8],3.4761739892,-0.0768197136,5,14f22d53aba149b6b7ba594e53352889,fPvQcabdeeekxnqxh_abBB
61,m087,1,1,[],3.4819708961,0.1753430877,5,bfd2451ae276574fa97ba97cef98efef,fPzMcbbcdeeqlshhw_abBa
62,m089,1,1,[13],3.48389857833,-0.072371895,5,ef610b1a2fca51d31be39a1a3a24ae33,fvQPcbdcedeqsjxsk_baBb
63,m090,1,1,[7],3.4838985783,0.177628105,5,aa3faf54ed4a8c22d0f641bf643c8138,fMLPcabdeeejqwqxh_babb
64,m093,1,1,[15],3.4866601463,0.242292552,5,4582d000268a757c700bbbde7741b7bb,fvAQcbbddeeqnrjqn_baab
65,m094,1,1,[],3.4866601463,-0.007707448,5,50aac86000df2921ef6dabb2001f681c,fPLPcabdeeekhwpiq_baab
66,m095,1,1,[],3.489870168,-0.188161382,5,64d1edd63ffd8f641d424dbce5f92351,fPzMcbbcdeedxnhqn_baBb
67,m096,1,1,[],3.4971332878,-0.104820381,5,094f1489b7902fe6575e1d067d14973b,fPzMcbbcdeexenhqn_baBb
68,m098,1,1,[5],3.5089171871,-0.096764306,5,72204897f62613f5c1d98817f0583011,fPzMcbbcdeephrhqn_abBa
69,m099,1,1,[],3.5140829125,-0.180235667,5,9d58b84c9e750eee8310fa62e47037d7,fPzMcbbcdeeetohqn_bBba
